PALABRA,FRECUENC,RHO,PHI,LENGTH
babaza,0,22,51.38211089301471,6
badaza,0,21,53.693012311441656,6
banaba,0,21,56.691817783460294,6
banana,2,21,60.94661840533516,6
banano,0,21,54.73963491863404,6
batata,0,21,59.329983852862966,6
batato,0,21,53.12300036616185,6
bayana,0,22,55.01239547880163,6
bezaar,0,21,52.65959554122922,6
bimana,0,23,50.74210801174119,6
botana,0,21,53.931317642397936,6
bramar,3,22,54.7102219180878,6
brazar,0,21,52.404722887516286,6
camama,0,23,58.70870924948827,6
camaza,0,22,56.40321021891676,6
cambar,0,21,51.05964836457714,6
cambia,43,21,50.25781395376757,6
cambra,0,21,51.05964836457715,6
camena,0,21,55.56932164016496,6
camita,5,21,53.70429729940634,6
camota,0,21,54.69761634642512,6
campar,1,21,51.57479605985846,6
cayama,0,22,55.77869418282881,6
cayaya,0,21,52.84867911616934,6
cegama,0,21,51.249932470151805,6
chamar,0,21,50.21723601832011,6
cuaima,0,21,51.59352433775729,6
damero,2,21,51.069012503526565,6
damnar,0,22,53.85484384097772,6
danzar,3,21,51.5493448104062,6
demora,13,21,51.06901250352656,6
famada,0,22,55.288877683936306,6
gabata,0,21,55.818911959085916,6
gamada,2,22,55.9339227938749,6
ganeta,0,21,53.9301171117634,6
garama,0,22,61.044101492859845,6
gataza,0,22,54.76400569051521,6
gayata,0,22,54.13948965442726,6
gayera,0,21,51.970490957003,6
gazapa,0,22,51.83267004015775,6
gitana,14,21,52.87341004724088,6
gramal,0,21,50.13079781263318,6
gramar,0,22,54.64563336994952,6
jamona,1,22,50.52877371798335,6
jayana,0,21,53.80574213802501,6
lampar,0,21,50.71053405605278,6
macana,0,21,61.71291710936234,6
maceta,2,21,54.761004363928855,6
machar,0,21,50.217236018320094,6
macona,0,21,55.50593362266122,6
madama,0,24,57.24910410401397,6
madera,184,21,57.27599599022768,6
madero,4,21,51.06901250352655,6
madona,0,22,54.04632847718692,6
madura,21,22,50.93575360309257,6
magiar,0,22,53.843798959139946,6
mahona,0,23,50.893014712502925,6
majada,2,21,54.791858001236555,6
majano,0,22,50.528773717983356,6
malafa,0,21,55.88422082560492,6
malata,0,21,60.04033782932056,6
malato,0,21,53.833354342619444,6
malaya,0,22,54.91443217902313,6
maleta,47,21,53.89674236012317,6
malina,0,21,53.64835257183675,6
mamada,1,24,57.24910410401398,6
mamado,0,24,51.04212061731286,6
mamila,0,23,50.64414471196269,6
mamola,2,23,51.637463758981475,6
mamona,0,25,52.98601982076078,6
mamosa,0,24,51.094103593788454,6
manada,9,22,60.253311963888045,6
manare,0,22,59.21989519367561,6
manato,0,23,55.18191040439875,6
manaza,0,24,56.88750427689039,6
mancar,0,21,55.31444898645202,6
